Elapsed time,Driver,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
'0:00.000',05,-0.049,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.002',05,-0.081,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.004',05,-0.083,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.006',05,-0.061,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.008',05,-0.037,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.010',05,-0.046,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.012',05,-0.077,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.014',05,-0.055,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.016',05,-0.017,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.018',05,-0.016,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.020',05,-0.039,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.022',05,-0.07,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.024',05,-0.081,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.026',05,-0.072,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.028',05,-0.085,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.030',05,-0.1,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.032',05,-0.049,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.034',05,-0.032,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.036',05,-0.068,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.038',05,-0.049,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.040',05,-0.045,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.042',05,-0.079,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.044',05,-0.076,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.046',05,-0.063,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.048',05,-0.051,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.050',05,-0.033,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.052',05,-0.023,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.054',05,-0.034,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.056',05,-0.055,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.058',05,-0.066,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.060',05,-0.055,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.063',05,-0.01,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.065',05,0.01,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.067',05,-0.01,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.069',05,-0.049,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.071',05,-0.044,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.073',05,0.001,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.075',05,0.006,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.077',05,0.033,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.079',05,0.05,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.081',05,0.023,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.083',05,-0.002,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.085',05,-0.004,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.087',05,0.027,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.089',05,0.057,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.091',05,0.061,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.093',05,0.045,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.095',05,0.032,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.097',05,0.046,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.099',05,0.046,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.101',05,0.0,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.103',05,0.001,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.105',05,0.017,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.107',05,0.006,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.109',05,-0.017,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.111',05,-0.051,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.113',05,-0.051,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.115',05,-0.046,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.117',05,-0.027,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.119',05,-0.007,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.121',05,-0.031,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.123',05,-0.048,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.125',05,-0.061,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.127',05,-0.071,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.129',05,-0.061,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.131',05,-0.078,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.133',05,-0.111,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.135',05,-0.094,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.137',05,-0.079,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.139',05,-0.089,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.141',05,-0.084,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.143',05,-0.096,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.145',05,-0.109,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.147',05,-0.1,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.149',05,-0.087,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.151',05,-0.085,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.153',05,-0.092,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.155',05,-0.062,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.157',05,-0.072,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.159',05,-0.118,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.161',05,-0.144,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.163',05,-0.118,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.165',05,-0.071,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.167',05,-0.082,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.169',05,-0.109,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.171',05,-0.151,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.173',05,-0.164,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.175',05,-0.127,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.177',05,-0.109,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.179',05,-0.096,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.181',05,-0.094,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.183',05,-0.112,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.185',05,-0.129,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.188',05,-0.12,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.190',05,-0.078,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.192',05,-0.083,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.194',05,-0.115,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.196',05,-0.115,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.198',05,-0.14,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.200',05,-0.129,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.202',05,-0.106,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.204',05,-0.115,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.206',05,-0.09,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.208',05,-0.105,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.210',05,-0.156,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.212',05,-0.16,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.214',05,-0.132,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.216',05,-0.139,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.218',05,-0.139,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.220',05,-0.111,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.222',05,-0.133,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.224',05,-0.183,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.226',05,-0.182,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.228',05,-0.105,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.230',05,-0.023,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.232',05,0.035,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.234',05,0.128,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.236',05,0.221,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.238',05,0.317,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.240',05,0.45,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.242',05,0.558,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.244',05,0.662,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.246',05,0.769,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.248',05,0.846,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.250',05,0.952,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.252',05,1.079,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.254',05,1.126,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.256',05,1.116,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.258',05,1.054,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.260',05,0.944,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.262',05,0.798,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.264',05,0.499,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.266',05,0.201,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.268',05,0.013,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.270',05,-0.171,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.272',05,-0.286,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.274',05,-0.339,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.276',05,-0.348,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.278',05,-0.325,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.280',05,-0.313,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.282',05,-0.292,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.284',05,-0.256,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.286',05,-0.19,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.288',05,-0.167,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.290',05,-0.16,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.292',05,-0.138,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.294',05,-0.131,0.414,6.235,10.672,89.0,12.48,31.99
